crank	name	surname	country	dob
1070	Polina	Merenkova	Uzbekistan	11-Nov-1995
1070	Mihoki	Miyahara	Japan	17-May-1995
1074	Madrie	Le roux	South africa	19-Apr-1995
1075	Yijia	Shao	China	09-Jan-1997
1076	Miriam	Civera lima	Spain	18-Dec-1995
1076	Emily	Seibold	Germany	01-Jan-2000
1076	Ana	Shanidze	Georgia	02-Jun-2001
1076	Nazari	Urbina	Mexico	12-Jun-1989
1080	Nadiya	Kolb	Ukraine	19-Jan-1993
1081	Megan	Mccray	United states	11-Jul-1995
1081	Karolina	Novotna	Czech republic	22-Dec-1997
1083	Amandine	Cazeaux	France	25-Feb-1989
1083	Marta	Garcia gausi	Spain	09-Mar-1997
1083	Lauryn	John-baptiste	United kingdom	26-Jul-1999
1083	Hanna	Landener	Germany	03-Apr-1994
1083	Tereza	Malikova	Czech republic	13-Jul-1991
1083	Laura	Sainsbury	United kingdom	07-Oct-1996
1083	Tijana	Spasojevic	Serbia	14-Jan-1999
1083	Natalia	Vajdova	Slovakia	26-Apr-1995
1091	Vasilisa	Aponasenko	Russia	22-Oct-1996
1091	Mathilde	Armitano	France	04-Jun-1997
1091	Dominique	Karregat	Netherlands	29-Sep-1995
1091	Valeria	Nikolaev	Israel	12-Feb-1997
1091	Helen	Ploskina	Ukraine	20-Apr-1997
1091	Ksenija	Sharifova	Russia	01-May-1996
1097	Jil nora	Engelmann	Germany	05-Nov-1993
1097	Camelia	Hristea	Romania	03-Feb-1991
1097	Kaylah	Mcphee	Australia	04-Feb-1998
1097	Alexa	Pirok	Hungary	01-Oct-1996
1097	Diana	Shevchenko	Russia	02-Feb-1995
1097	Iana	Tishchenko	Moldova	24-Apr-1996
1103	Ioana	Minca	Romania	27-Sep-1998
1104	Jade	Lewis	New zealand	18-Dec-1998
1105	Schena	Benamar	France	18-Jan-1999
1105	Flavia	Guimaraes bueno	Brazil	13-May-1992
1105	Yanni	Liu	China	11-Jun-1999
1105	Olga	Parres azcoitia	Spain	26-Mar-1993
1109	Malene	Helgo	Norway	26-Aug-1999
1109	Lena-marie	Hofmann	Germany	03-Feb-1991
1109	Mitsumi	Kawasaki	Japan	09-Sep-1983
1109	Jelena	Lukic	Serbia	24-Feb-1997
1109	Brandy	Mina	France	24-Jul-1994
1109	Manon	Peral	France	24-Feb-1994
1115	Karolina	Stuchla	Czech republic	24-Feb-1994
1116	Gabriella	Da silva fick	Australia	23-Aug-2000
1116	Michaela	Haet	Australia	12-Feb-1999
1116	Haine	Ogata	Japan	29-Aug-1993
1119	Alicia	Barnett	United kingdom	18-Oct-1993
1119	Astrid	Brune olsen	Norway	23-Jun-1999
1119	Quinn	Gleason	United states	10-Nov-1994
1119	Andrea	Koch-benvenuto	Chile	26-Apr-1985
1119	Ofri	Lankri	Israel	06-Jul-1991
1119	Lucia	Marzal martinez	Spain	03-Feb-2000
1125	Shiran	Arol wiegand	Israel	23-Jan-1998
1125	Sari	Baba	Japan	10-Jun-1994
1125	Anna	Brogan	United kingdom	04-Aug-1997
1125	Steffi	Carruthers	Samoa	24-May-1993
1125	Cindy	Castille	France	28-Jun-1998
1125	Darya	Chernetsova	Belarus	13-Nov-1994
1125	Natalie	Cvackova	Czech republic	18-Jan-1996
1125	Jazzamay	Drew	United kingdom	19-Jul-1994
1125	Kelia	Le bihan	France	07-Jan-1999
1125	Emma	Lene	France	15-Jul-1999
1125	Tamachan	Momkoonthod	Thailand	14-Apr-1997
1125	Mallaurie	Noel	France	27-Nov-1994
1125	Ipek	Oz	Turkey	08-Jul-1999
1125	Andreea	Prisacariu	Romania	09-Feb-2000
1125	Zoe gwen	Scandalis	United states	21-Sep-1993
1125	Carla	Touly	France	30-Aug-1996
1125	Veronika	Vlkovska	Czech republic	06-Sep-1997
1142	Tea	Faber	Croatia	27-Jun-1989
1142	Anna	Gabric	Germany	25-May-1998
1142	Albina	Khabibulina	Uzbekistan	11-May-1992
1142	Rio	Kitagawa	Japan	15-Sep-1993
1142	Rebeca	Pereira	Brazil	23-Mar-1993
1142	Shweta chandra	Rana	India	09-Aug-1993
1142	Julie	Razafindranaly	France	14-Mar-1997
1142	Rafaela	Rodrigues dos santos	Brazil	02-Apr-1998
1142	Almudena	Sanz-llaneza fernandez	Spain	03-Mar-1991
1142	Arina	Taluenko	Kazakhstan	10-Jan-1999
1152	Shahar	Peer	Israel	01-May-1987
1153	Paula	Arias manjon	Spain	26-Feb-2000
1153	Laura	Gulbe	Latvia	27-Feb-1995
1153	Sina	Haas	Germany	21-Sep-1992
1153	Polina	Novikova	Russia	16-Feb-1998
1153	Giulia	Pairone	Italy	21-Jan-1996
1158	Shir	Azran	Israel	29-Apr-1998
1158	Natalia	Belova	Russia	07-Sep-1997
1158	Natsumi	Chimura	Japan	20-Jul-1995
1158	Dewi	Dijkman	Netherlands	04-Sep-1998
1158	Claudia	Franze	Italy	24-May-1990
1158	Alicia	Herrero linana	Spain	29-Dec-1998
1158	Francesca	Jones	United kingdom	19-Sep-2000
1158	Anda	Karanusic	Croatia	02-Aug-2000
1158	Ines	Mesquita	Portugal	11-May-1998
1158	Lidia	Moreno arias	Spain	03-Feb-1997
1158	Elina	Nepliy	Russia	23-Oct-1997
1158	Maria paulina	Perez garcia	Colombia	10-Jan-1996
1158	Miranda	Ramirez	United states	07-Mar-1999
1158	Nika	Shytkouskaya	Belarus	02-Feb-1999
1158	Eva	Siska	United states	02-Nov-1996
1173	Cemre	Anil	Turkey	27-Oct-1993
1173	Alexandra	Bozovic	Australia	15-Feb-1999
1173	Claudia	Cianci	Portugal	07-Jun-1996
1173	Daniela	Ciobanu	Moldova	09-Mar-1995
1173	Nina	Kolar	Slovenia	16-Sep-1999
1173	Jasmin	Ladurner	Italy	14-Jun-1991
1173	Guiomar	Maristany zuleta de reales	Spain	19-Feb-1999
1173	Selin	Ovunc	Turkey	05-Jan-2001
1173	Kristina n	Smith	United states	25-Jan-1991
1173	Magdalena	Stoilkovska	Macedonia	12-Apr-1996
1173	Gabriela	Van de graaf	Netherlands	07-Jul-1994
1173	Elina	Vikhryanova	Russia	10-Dec-1996
1173	Maria	Zotova	Russia	02-Jun-1996
1186	Andreja	Klepac	Slovenia	13-Mar-1986
1187	Heidi	El tabakh	Canada	25-Sep-1986
1188	Naoko	Eto	Japan	17-Dec-1984
1189	Anastasia	Bukhanko	Russia	06-Jun-1990
1190	Madison	Bourguignon	United states	19-Sep-1997
1190	Noelia	Bouzo zanotti	Spain	06-Sep-1999
1190	Alessia	Dario	Italy	03-Apr-1998
1190	Yanina	Darishina	Russia	23-Oct-1993
1190	Federica	Di sarra	Italy	16-May-1990
1190	Sarah	Finck	France	02-Sep-1995
1190	Weronika	Forys	Poland	25-Dec-1998
1190	Lina	Glushko	Israel	12-Jan-2000
1190	Paige mary	Hourigan	New zealand	03-Feb-1997
1190	Iulia	Ivascu	Romania	06-Feb-1998
1190	Livia	Kraus	Austria	11-Nov-1998
1190	Lenka	Kuncikova	Czech republic	29-Jul-1995
1190	Nonna	Kurginyan	Russia	16-Nov-1997
1190	Varvara	Kuznetsova	Russia	05-Dec-1992
1190	Kristina	Miletic	Serbia	01-Jan-1999
1190	Yuriko	Miyazaki	Japan	11-Nov-1995
1190	Yvonne	Neuwirth	Austria	04-Aug-1992
1190	Olivia	Nicholls	United kingdom	26-Oct-1994
1190	Natalie	Novotna	Czech republic	12-Dec-1996
1190	Deria	Nur haliza	Indonesia	08-Jun-1997
1190	Alessia	Piran	Italy	14-May-1992
1190	Oleksandra	Piskun	Ukraine	05-Mar-1992
1190	Stefania	Rogozinska dzik	Poland	07-Jul-2001
1190	Vera	Sakalouskaya	Belarus	19-Mar-1997
1190	Daria	Solovyeva	Russia	28-May-2000
1190	Liniques	Theron	Namibia	04-Jan-1995
1190	Nikola	Tomanova	Czech republic	01-Mar-1996
1190	Anna	Ukolova	Russia	25-Mar-1999
1190	Daniela	Vukovic	Switzerland	03-Dec-1998
1190	Simona	Waltert	Switzerland	13-Dec-2000
1190	Yidi	Yang	China	21-Dec-1999
1221	Marina	Bassols ribera	Spain	13-Dec-1999
1221	Siqi	Cao	China	17-Jan-1999
1221	Eden	D'oliveira	South africa	07-Feb-1991
1221	Emma	Ek	Sweden	20-Aug-1996
1221	Mayar	Eltony	Egypt	26-Oct-1997
1221	Elaine	Genovese	Malta	11-Jan-1991
1221	Claudia	Hoste ferrer	Spain	12-Nov-1998
1221	Elizabeth	James	Australia	27-Apr-1994
1221	Shakhnoza	Khatamova	Uzbekistan	06-Dec-1999
1221	Sung hee	Kim	South korea	27-Apr-1994
1221	Kristina	Kislyak	Russia	17-Apr-1999
1221	Katya	Malikova	Ukraine	04-Jul-1994
1221	Nicole	Nadel	Israel	12-Jun-2000
1221	Barbara	Oliveira	Brazil	24-Jun-1988
1221	Sandra	Ortevall	Sweden	09-Apr-1998
1221	Sally	Peers	Australia	01-Jun-1991
1221	Alexandra	Pisareva	Ukraine	23-Mar-2000
1221	Ana	Roman dominguez	Spain	10-Jan-1997
1221	Sarvinoz	Saidhujaeva	Uzbekistan	29-Oct-1997
1221	Anastasiya	Saitova	Russia	16-Feb-1995
1221	Sabina	Shaydullina	Russia	07-Feb-1996
1221	Maya	Tahan	Israel	09-Jan-1999
1221	Karin	Terami	Japan	10-Oct-1994
1221	Alina	Wessel	Germany	25-Nov-1990
1221	Anastasiya	Yakimova	Belarus	01-Nov-1986
1246	Ayumi	Miyamoto	Japan	18-Dec-2000
1246	Maria camila	Osorio serrano	Colombia	22-Dec-2001
1246	Laura	Rico garcia	Colombia	07-May-2000
1246	Julia	Rosenqvist	Sweden	24-Mar-1998
1250	Minami	Akiyama	Japan	30-Apr-1995
1250	Brooke	Austin	United states	12-Feb-1996
1250	Valentine	Bacher	France	15-Jun-1999
1250	Victoria	Beccio	Argentina	15-Nov-1997
1250	Aleksandra	Buczynska	Poland	07-Oct-1997
1250	Siyu	Chen	China	02-Mar-1995
1250	Lauren	Chypyha	Canada	07-Jul-1994
1250	Mariana	Correa	Ecuador	04-Nov-1984
1250	Alexia	Coutino castillo	Mexico	12-Aug-1998
1250	Dominique	Covington	United kingdom	18-Feb-1995
1250	Paulina	Czarnik	Poland	15-Jan-1994
1250	Beatriz	Flores	Mexico	01-Nov-1991
1250	En-pei	Huang	Chinese taipei	02-Jan-1998
1250	Viktoriia	Kalinina	Russia	05-Jan-1999
1250	Seo-kyung	Kang	South korea	29-Jan-1989
1250	Ina	Kaufinger	Germany	30-Oct-1993
1250	Aneta	Kladivova	Czech republic	23-May-2000
1250	Ekaterina	Klyueva	Kazakhstan	02-Jun-1996
1250	Boba	Kotlica	Serbia	16-Feb-1999
1250	Olena	Kyrpot	Ukraine	04-Apr-1994
1250	Sara	Lanca	Portugal	02-Mar-1997
1250	Grace	Leake	United states	11-Dec-1989
1250	Sean	Lodzki	Israel	30-Dec-1998
1250	Sara	Marcionni	Italy	29-Nov-1989
1250	Anne-marie	Medcalf	Australia	20-Feb-1998
1250	Amrita	Mukherjee	India	05-Aug-1994
1250	Viktoryia	Mun	Belarus	14-Dec-1994
1250	Jule	Niemeier	Germany	12-Aug-1999
1250	Daria	Orichkevitch	Ukraine	02-Aug-1999
1250	Ekaterina	Ovcharenko	Russia	31-Dec-2000
1250	Cecilia	Pattacini	Italy	12-Jun-1996
1250	Meritxell	Perera ros	Spain	14-Oct-1998
1250	Marcelina	Podlinska	Poland	27-May-1999
1250	Nataliya	Pogribnyak	Ukraine	10-Jul-1998
1250	Jiatian	Qi	China	28-Feb-1999
1250	Valerie	Quiceno	Colombia	22-Nov-1997
1250	Angelica	Raggi	Italy	14-Nov-1998
1250	Eden	Richardson	United kingdom	03-Sep-1998
1250	Lisa-marie	Rioux	Japan	01-May-1997
1250	Eva	Rutarova	Czech republic	21-Jul-1995
1250	Cristina	Sanchez-quintanar	Spain	24-Mar-1989
1250	Karine	Sarkisova	Russia	07-Jun-1998
1250	Nikola	Schweinerova	Czech republic	25-May-1995
1250	Darya	Shulzhanok	Belarus	22-Nov-1993
1250	Denise-antonela	Stoica	Romania	10-Mar-2000
1250	Veronika	Stotyka	Ukraine	31-Oct-1995
1250	You-na	Sul	South korea	14-Mar-1993
1250	Chihiro	Takayama	Japan	10-Feb-1991
1250	Ella	Taylor	United kingdom	22-Jun-1995
1250	Giorgia	Testa	Italy	13-Jul-1998
1250	Tamara	Tomic	Serbia	13-Mar-1997
1250	Julie	Tringa	France	07-Mar-1992
1250	Camila	Tumosa	Argentina	24-Oct-1997
1250	Malin	Ulvefeldt	Sweden	27-Feb-1994
1250	Vanessa	Wong	Canada	10-Jan-1999
1250	Ho ching	Wu	Hong kong sar china	30-Aug-1991
1250	Michela	Xibilia	Italy	17-Oct-1998
1250	Shangqing	Yang	China	22-Aug-1995
1250	Yuanyi	Yu	China	01-Jan-1995
